success,failure,stuck,success_percent,failure_percent,stuck_percent
83,54,1,0.6014,0.3913,0.0072
83,54,2,0.5971,0.3885,0.0144
84,54,1,0.6043,0.3885,0.0072
84,54,2,0.6,0.3857,0.0143
84,54,3,0.5957,0.383,0.0213
85,54,2,0.6028,0.383,0.0142
85,55,1,0.6028,0.3901,0.0071
86,55,0,0.6099,0.3901,0.0
86,55,1,0.6056,0.3873,0.007
86,55,2,0.6014,0.3846,0.014
86,55,3,0.5972,0.3819,0.0208
86,55,4,0.5931,0.3793,0.0276
86,55,5,0.589,0.3767,0.0342
86,56,4,0.589,0.3836,0.0274
86,57,3,0.589,0.3904,0.0205
86,58,2,0.589,0.3973,0.0137
87,58,2,0.5918,0.3946,0.0136
87,59,1,0.5918,0.4014,0.0068
87,59,2,0.5878,0.3986,0.0135
87,60,1,0.5878,0.4054,0.0068
88,60,0,0.5946,0.4054,0.0
88,60,1,0.5906,0.4027,0.0067
89,60,0,0.5973,0.4027,0.0
89,60,1,0.5933,0.4,0.0067
90,60,0,0.6,0.4,0.0
90,60,1,0.596,0.3974,0.0066
90,60,2,0.5921,0.3947,0.0132
90,60,3,0.5882,0.3922,0.0196
90,60,4,0.5844,0.3896,0.026
90,60,5,0.5806,0.3871,0.0323
90,61,5,0.5769,0.391,0.0321
90,61,6,0.5732,0.3885,0.0382
90,62,6,0.5696,0.3924,0.038
90,63,5,0.5696,0.3987,0.0316
90,64,4,0.5696,0.4051,0.0253
90,65,3,0.5696,0.4114,0.019
90,66,2,0.5696,0.4177,0.0127
91,66,2,0.5723,0.4151,0.0126
91,66,3,0.5688,0.4125,0.0188
92,66,2,0.575,0.4125,0.0125
92,67,1,0.575,0.4188,0.0062
92,68,0,0.575,0.425,0.0
92,68,1,0.5714,0.4224,0.0062
92,68,2,0.5679,0.4198,0.0123
92,68,3,0.5644,0.4172,0.0184
92,68,4,0.561,0.4146,0.0244
92,68,5,0.5576,0.4121,0.0303
92,69,4,0.5576,0.4182,0.0242
92,70,3,0.5576,0.4242,0.0182
92,71,2,0.5576,0.4303,0.0121
92,72,1,0.5576,0.4364,0.0061
92,72,2,0.5542,0.4337,0.012
93,72,1,0.5602,0.4337,0.006
94,72,0,0.5663,0.4337,0.0
95,72,0,0.5689,0.4311,0.0
95,72,1,0.5655,0.4286,0.006
95,72,2,0.5621,0.426,0.0118
96,72,2,0.5647,0.4235,0.0118
97,72,1,0.5706,0.4235,0.0059
97,72,2,0.5673,0.4211,0.0117
97,72,3,0.564,0.4186,0.0174
98,72,2,0.5698,0.4186,0.0116
98,73,1,0.5698,0.4244,0.0058
99,73,0,0.5756,0.4244,0.0
99,73,1,0.5723,0.422,0.0058
99,73,2,0.569,0.4195,0.0115
99,73,3,0.5657,0.4171,0.0171
99,73,4,0.5625,0.4148,0.0227
99,73,5,0.5593,0.4124,0.0282
99,73,6,0.5562,0.4101,0.0337
99,73,7,0.5531,0.4078,0.0391
99,73,8,0.55,0.4056,0.0444
99,73,9,0.547,0.4033,0.0497
99,74,8,0.547,0.4088,0.0442
99,75,8,0.544,0.4121,0.044
99,76,8,0.541,0.4153,0.0437
99,77,8,0.538,0.4185,0.0435
99,78,7,0.538,0.4239,0.038
99,79,6,0.538,0.4293,0.0326
99,80,5,0.538,0.4348,0.0272
99,81,4,0.538,0.4402,0.0217
99,82,3,0.538,0.4457,0.0163
99,83,2,0.538,0.4511,0.0109
99,84,1,0.538,0.4565,0.0054
99,85,0,0.538,0.462,0.0
99,85,1,0.5351,0.4595,0.0054
99,86,1,0.5323,0.4624,0.0054
99,87,1,0.5294,0.4652,0.0053
99,88,1,0.5266,0.4681,0.0053
99,89,0,0.5266,0.4734,0.0
99,89,1,0.5238,0.4709,0.0053
100,89,0,0.5291,0.4709,0.0
101,89,0,0.5316,0.4684,0.0
101,89,1,0.5288,0.466,0.0052
101,89,2,0.526,0.4635,0.0104
101,90,2,0.5233,0.4663,0.0104
101,90,3,0.5206,0.4639,0.0155
101,91,2,0.5206,0.4691,0.0103
102,91,2,0.5231,0.4667,0.0103
102,92,2,0.5204,0.4694,0.0102
102,93,2,0.5178,0.4721,0.0102
102,93,3,0.5152,0.4697,0.0152
102,93,4,0.5126,0.4673,0.0201
103,93,3,0.5176,0.4673,0.0151
104,93,2,0.5226,0.4673,0.0101
105,93,1,0.5276,0.4673,0.005
105,93,2,0.525,0.465,0.01
106,93,2,0.5274,0.4627,0.01
107,93,1,0.5323,0.4627,0.005
108,93,0,0.5373,0.4627,0.0
108,93,1,0.5347,0.4604,0.005
108,93,2,0.532,0.4581,0.0099
108,93,3,0.5294,0.4559,0.0147
108,93,4,0.5268,0.4537,0.0195
108,94,3,0.5268,0.4585,0.0146
108,95,2,0.5268,0.4634,0.0098
108,95,3,0.5243,0.4612,0.0146
108,95,4,0.5217,0.4589,0.0193
109,95,3,0.5266,0.4589,0.0145
109,96,2,0.5266,0.4638,0.0097
109,96,3,0.524,0.4615,0.0144
110,96,2,0.5288,0.4615,0.0096
110,96,3,0.5263,0.4593,0.0144
111,96,2,0.5311,0.4593,0.0096
112,96,1,0.5359,0.4593,0.0048
113,96,0,0.5407,0.4593,0.0
114,96,0,0.5429,0.4571,0.0
114,96,1,0.5403,0.455,0.0047
114,96,2,0.5377,0.4528,0.0094
114,97,2,0.5352,0.4554,0.0094
114,98,2,0.5327,0.4579,0.0093
114,99,1,0.5327,0.4626,0.0047
114,100,0,0.5327,0.4673,0.0
114,100,1,0.5302,0.4651,0.0047
114,100,2,0.5278,0.463,0.0093
115,100,1,0.5324,0.463,0.0046
116,100,0,0.537,0.463,0.0
117,100,0,0.5392,0.4608,0.0
118,100,0,0.5413,0.4587,0.0
119,100,0,0.5434,0.4566,0.0
120,100,0,0.5455,0.4545,0.0
120,101,0,0.543,0.457,0.0
120,101,1,0.5405,0.455,0.0045
120,101,2,0.5381,0.4529,0.009
120,101,3,0.5357,0.4509,0.0134
120,102,2,0.5357,0.4554,0.0089
120,103,2,0.5333,0.4578,0.0089
120,103,3,0.531,0.4558,0.0133
120,104,2,0.531,0.4602,0.0088
121,104,2,0.533,0.4581,0.0088
121,105,1,0.533,0.4626,0.0044
122,105,0,0.5374,0.4626,0.0
123,105,0,0.5395,0.4605,0.0
124,105,0,0.5415,0.4585,0.0
124,105,1,0.5391,0.4565,0.0043
124,105,2,0.5368,0.4545,0.0087
125,105,1,0.5411,0.4545,0.0043
126,105,0,0.5455,0.4545,0.0
126,105,1,0.5431,0.4526,0.0043
126,105,2,0.5408,0.4506,0.0086
126,106,1,0.5408,0.4549,0.0043
126,107,0,0.5408,0.4592,0.0
126,107,1,0.5385,0.4573,0.0043
127,107,1,0.5404,0.4553,0.0043
127,107,2,0.5381,0.4534,0.0085
127,107,3,0.5359,0.4515,0.0127
128,107,2,0.5401,0.4515,0.0084
129,107,1,0.5443,0.4515,0.0042
129,108,0,0.5443,0.4557,0.0
129,108,1,0.542,0.4538,0.0042
130,108,0,0.5462,0.4538,0.0
131,108,0,0.5481,0.4519,0.0
131,108,1,0.5458,0.45,0.0042
131,108,2,0.5436,0.4481,0.0083
