success,failure,stuck,success_percent,failure_percent
38,200,0,0.1597,0.8403
38,200,1,0.1597,0.8403
38,200,2,0.1597,0.8403
38,200,3,0.1597,0.8403
38,200,4,0.1597,0.8403
38,200,5,0.1597,0.8403
38,200,6,0.1597,0.8403
38,200,7,0.1597,0.8403
38,201,6,0.159,0.841
38,202,6,0.1583,0.8417
38,203,5,0.1577,0.8423
38,204,4,0.157,0.843
38,205,3,0.1564,0.8436
39,205,2,0.1598,0.8402
39,206,1,0.1592,0.8408
39,207,0,0.1585,0.8415
39,207,1,0.1585,0.8415
39,207,2,0.1585,0.8415
39,207,3,0.1585,0.8415
39,207,4,0.1585,0.8415
39,207,5,0.1585,0.8415
39,207,6,0.1585,0.8415
39,207,7,0.1585,0.8415
39,207,8,0.1585,0.8415
39,207,9,0.1585,0.8415
39,207,10,0.1585,0.8415
39,208,9,0.1579,0.8421
39,209,8,0.1573,0.8427
39,210,7,0.1566,0.8434
39,210,8,0.1566,0.8434
39,211,7,0.156,0.844
40,211,6,0.1594,0.8406
40,212,5,0.1587,0.8413
40,213,4,0.1581,0.8419
40,214,3,0.1575,0.8425
40,215,2,0.1569,0.8431
40,216,1,0.1562,0.8438
40,217,0,0.1556,0.8444
40,217,1,0.1556,0.8444
40,218,1,0.155,0.845
40,218,2,0.155,0.845
40,218,3,0.155,0.845
40,218,4,0.155,0.845
40,218,5,0.155,0.845
40,219,4,0.1544,0.8456
40,220,4,0.1538,0.8462
40,221,3,0.1533,0.8467
40,222,2,0.1527,0.8473
40,223,1,0.1521,0.8479
40,224,0,0.1515,0.8485
40,224,1,0.1515,0.8485
40,224,2,0.1515,0.8485
40,225,2,0.1509,0.8491
40,225,3,0.1509,0.8491
40,225,4,0.1509,0.8491
40,226,3,0.1504,0.8496
40,227,2,0.1498,0.8502
40,228,1,0.1493,0.8507
40,229,0,0.1487,0.8513
40,229,1,0.1487,0.8513
40,229,2,0.1487,0.8513
41,229,2,0.1519,0.8481
41,230,1,0.1513,0.8487
41,231,0,0.1507,0.8493
41,231,1,0.1507,0.8493
41,231,2,0.1507,0.8493
41,232,2,0.1502,0.8498
41,232,3,0.1502,0.8498
41,233,2,0.1496,0.8504
41,234,1,0.1491,0.8509
41,235,0,0.1486,0.8514
41,235,1,0.1486,0.8514
41,235,2,0.1486,0.8514
41,235,3,0.1486,0.8514
41,236,2,0.148,0.852
41,236,3,0.148,0.852
42,236,2,0.1511,0.8489
43,236,1,0.1541,0.8459
43,236,2,0.1541,0.8459
44,236,1,0.1571,0.8429
